id,user_id,product_id,quantity,order_date
1,90,36,1,2025-06-17
2,45,54,5,2025-06-18
3,61,27,5,2025-05-27
4,52,2,5,2025-06-02
5,13,99,1,2025-06-23
6,97,100,3,2025-06-22
7,13,17,4,2025-06-08
8,38,7,3,2025-06-23
9,46,56,2,2025-06-22
10,50,73,3,2025-05-30
11,54,23,2,2025-06-17
12,78,48,3,2025-05-31
13,15,45,1,2025-06-16
14,55,28,4,2025-06-09
15,91,14,1,2025-06-03
16,12,24,4,2025-06-09
17,74,20,5,2025-06-19
18,49,41,5,2025-06-15
19,70,17,4,2025-06-06
20,48,4,5,2025-05-28
21,26,69,2,2025-06-23
22,9,25,3,2025-06-09
23,48,90,3,2025-06-04
24,12,2,1,2025-06-01
25,96,95,4,2025-06-20
26,10,62,5,2025-06-11
27,1,98,5,2025-05-29
28,25,51,4,2025-05-25
29,5,8,3,2025-06-10
30,94,64,3,2025-05-28
31,54,30,5,2025-05-30
32,78,26,4,2025-05-31
33,60,6,4,2025-06-17
34,99,39,2,2025-05-26
35,63,84,5,2025-06-03
36,84,72,2,2025-06-11
37,2,28,4,2025-06-19
38,21,48,5,2025-06-06
39,47,17,5,2025-06-16
40,8,63,5,2025-05-29
41,70,73,2,2025-06-08
42,22,36,5,2025-06-02
43,13,32,5,2025-06-21
44,78,43,3,2025-05-26
45,53,46,3,2025-06-15
46,93,40,3,2025-06-08
47,49,84,2,2025-06-02
48,62,95,2,2025-06-12
49,100,34,1,2025-06-03
50,55,89,4,2025-06-07
51,11,88,3,2025-05-29
52,65,5,2,2025-06-07
53,35,66,3,2025-06-18
54,91,98,5,2025-06-19
55,15,31,2,2025-06-19
56,43,9,4,2025-06-18
57,20,100,1,2025-06-06
58,7,100,4,2025-06-21
59,21,20,4,2025-06-19
60,65,56,1,2025-05-27
61,43,59,2,2025-06-22
62,85,26,5,2025-06-23
63,93,79,2,2025-06-08
64,14,29,5,2025-06-03
65,36,78,4,2025-06-19
66,15,43,5,2025-05-30
67,31,40,2,2025-05-29
68,82,46,2,2025-06-09
69,65,83,1,2025-05-31
70,68,69,3,2025-05-31
71,60,59,5,2025-06-15
72,16,81,4,2025-06-11
73,43,100,5,2025-06-06
74,94,52,2,2025-06-16
75,74,76,2,2025-06-15
76,69,72,2,2025-05-30
77,81,31,4,2025-06-21
78,91,57,4,2025-06-22
79,95,85,3,2025-06-12
80,77,91,1,2025-06-10
81,62,79,2,2025-05-30
82,61,88,5,2025-05-29
83,55,34,5,2025-06-21
84,36,7,3,2025-06-20
85,31,40,1,2025-06-09
86,31,84,5,2025-06-12
87,7,68,1,2025-06-05
88,62,46,4,2025-06-13
89,84,67,5,2025-06-13
90,45,20,2,2025-06-23
91,88,49,3,2025-05-27
92,97,27,2,2025-06-05
93,34,44,3,2025-05-28
94,33,24,1,2025-06-01
95,61,31,1,2025-06-03
96,36,34,3,2025-05-26
97,95,46,2,2025-05-29
98,85,25,3,2025-06-17
99,4,41,4,2025-06-13
100,67,24,1,2025-05-28
101,85,60,2,2025-06-17
102,20,54,2,2025-06-23
103,24,75,2,2025-06-22
104,83,19,2,2025-06-18
105,26,51,3,2025-05-31
106,4,79,1,2025-06-07
107,67,22,4,2025-06-03
108,11,15,3,2025-06-08
109,67,11,2,2025-06-14
110,37,53,4,2025-06-05
111,14,6,3,2025-06-01
112,67,70,1,2025-06-18
113,60,93,1,2025-06-10
114,13,24,3,2025-06-16
115,92,97,5,2025-06-21
116,43,90,1,2025-05-25
117,76,20,4,2025-06-17
118,73,51,1,2025-06-19
119,90,47,2,2025-06-01
120,10,86,3,2025-06-05
121,20,12,2,2025-06-14
122,68,65,2,2025-06-05
123,34,26,5,2025-05-28
124,61,88,1,2025-06-04
125,10,47,4,2025-05-30
126,41,58,1,2025-06-17
127,16,26,4,2025-06-19
128,45,46,3,2025-06-13
129,36,78,5,2025-06-22
130,9,57,1,2025-06-20
131,24,71,5,2025-06-04
132,10,25,4,2025-05-31
133,32,3,3,2025-05-29
134,62,56,2,2025-05-28
135,72,29,5,2025-06-04
136,92,52,5,2025-06-14
137,16,70,1,2025-05-31
138,42,90,4,2025-06-16
139,6,50,3,2025-06-15
140,76,38,4,2025-05-29
141,100,20,4,2025-06-14
142,69,77,1,2025-06-12
143,91,84,2,2025-06-08
144,35,57,1,2025-06-18
145,99,55,2,2025-06-11
146,67,86,5,2025-06-18
147,83,56,5,2025-06-13
148,41,60,5,2025-06-13
149,91,3,1,2025-06-11
150,38,50,4,2025-06-08
151,61,69,5,2025-06-09
152,65,79,5,2025-05-25
