id,user_id,product_id,quantity,order_date
1,19,24,2,2025-06-14
2,49,3,5,2025-05-30
3,7,46,4,2025-06-05
4,35,12,2,2025-06-18
5,64,40,2,2025-06-21
6,97,8,5,2025-06-03
7,22,5,3,2025-06-18
8,74,80,1,2025-05-28
9,48,94,2,2025-06-18
10,44,95,4,2025-06-20
11,21,2,5,2025-06-06
12,10,79,4,2025-06-05
13,78,86,4,2025-06-03
14,85,24,5,2025-05-26
15,32,26,2,2025-06-19
16,53,61,1,2025-05-25
17,84,8,4,2025-05-25
18,37,57,2,2025-06-07
19,4,90,3,2025-06-23
20,82,46,5,2025-06-14
21,4,29,5,2025-06-08
22,83,24,4,2025-05-31
23,32,31,4,2025-06-05
24,75,75,1,2025-06-12
25,73,72,2,2025-05-28
26,60,60,4,2025-06-18
27,13,3,1,2025-06-14
28,26,57,4,2025-05-29
29,73,64,3,2025-06-03
30,12,24,5,2025-06-17
31,48,9,3,2025-06-19
32,67,80,1,2025-06-23
33,74,93,1,2025-06-01
34,88,19,3,2025-06-19
35,11,12,5,2025-06-08
36,62,22,5,2025-06-08
37,38,58,4,2025-06-21
38,46,3,5,2025-06-05
39,93,41,1,2025-06-02
40,47,86,1,2025-06-18
41,35,74,5,2025-05-30
42,79,3,1,2025-06-23
43,68,74,4,2025-06-04
44,60,58,3,2025-06-15
45,13,17,3,2025-06-19
46,72,100,1,2025-05-26
47,18,36,4,2025-06-15
48,54,36,5,2025-06-17
49,14,34,1,2025-06-08
50,65,100,3,2025-06-15
51,7,58,3,2025-05-27
52,28,75,4,2025-05-29
53,94,81,4,2025-06-12
54,31,70,1,2025-06-16
55,13,41,5,2025-05-26
56,6,8,4,2025-06-10
57,21,45,1,2025-06-21
58,86,5,4,2025-06-14
59,23,81,5,2025-06-20
60,42,29,5,2025-06-12
61,8,35,1,2025-06-09
62,50,43,2,2025-06-01
63,50,95,2,2025-05-29
64,51,36,5,2025-05-27
65,50,70,5,2025-05-26
66,44,100,5,2025-06-16
67,14,13,2,2025-05-31
68,38,92,1,2025-06-09
69,27,92,3,2025-05-29
70,27,78,4,2025-06-11
71,51,69,5,2025-06-08
72,29,63,3,2025-05-29
73,42,37,4,2025-05-30
74,9,27,3,2025-06-01
75,86,58,5,2025-06-03
76,7,53,4,2025-05-27
77,93,75,4,2025-05-27
78,23,59,5,2025-06-22
79,69,5,1,2025-06-17
80,85,99,3,2025-06-15
81,59,89,4,2025-05-26
82,6,45,1,2025-06-19
83,50,70,2,2025-06-05
84,5,97,2,2025-06-12
85,25,79,1,2025-06-23
86,7,1,1,2025-06-02
87,57,45,4,2025-05-30
88,85,69,4,2025-06-09
89,1,49,3,2025-06-02
90,70,34,3,2025-06-04
91,4,9,5,2025-05-28
92,38,57,4,2025-06-23
93,5,64,4,2025-06-18
94,84,30,1,2025-05-28
95,94,41,3,2025-06-11
96,47,28,3,2025-06-05
