id,order_id,amount,method
1,61,952.45,credit_card
2,32,43.79,bank_transfer
3,86,81.4,bank_transfer
4,45,288.51,credit_card
5,22,790.55,credit_card
6,40,182.71,credit_card
7,3,252.74,bank_transfer
8,44,315.59,paypal
9,4,258.92,paypal
10,96,411.76,bank_transfer
11,29,235.57,paypal
12,45,268.56,bank_transfer
13,2,706.37,credit_card
14,32,878.09,bank_transfer
15,76,350.52,bank_transfer
16,69,412.05,bank_transfer
17,40,886.55,bank_transfer
18,26,402.25,bank_transfer
19,10,170.08,paypal
20,79,533.38,paypal
21,43,931.82,paypal
22,17,399.83,credit_card
23,77,292.59,credit_card
24,49,918.02,bank_transfer
25,76,139.04,paypal
26,13,342.66,credit_card
27,22,584.27,bank_transfer
28,20,682.44,credit_card
29,67,854.28,bank_transfer
30,53,606.08,bank_transfer
31,84,104.09,paypal
32,1,414.6,credit_card
33,41,503.88,credit_card
34,64,518.44,credit_card
35,31,799.75,credit_card
36,55,764.56,paypal
37,70,182.51,paypal
38,6,737.69,credit_card
39,79,415.77,paypal
40,71,293.04,paypal
41,32,323.24,bank_transfer
42,82,773.82,credit_card
43,33,570.09,paypal
44,97,401.2,bank_transfer
45,17,449.73,credit_card
46,7,151.33,credit_card
47,48,736.71,credit_card
48,6,356.45,paypal
49,89,400.39,paypal
50,62,165.26,credit_card
51,32,801.17,credit_card
52,54,244.32,paypal
53,17,561.48,paypal
54,18,296.74,credit_card
55,36,618.34,bank_transfer
56,99,697.81,paypal
57,66,135.71,paypal
58,35,408.66,paypal
59,19,333.25,bank_transfer
60,46,128.34,paypal
61,70,49.2,credit_card
62,63,896.59,bank_transfer
63,10,320.16,credit_card
64,83,710.67,credit_card
65,73,958.25,paypal
66,2,772.95,credit_card
67,57,205.85,paypal
68,43,906.34,credit_card
69,73,706.12,paypal
70,45,264.85,paypal
71,51,826.61,paypal
72,8,458.11,bank_transfer
73,63,803.68,paypal
74,24,651.68,paypal
75,4,264.62,bank_transfer
76,25,785.95,paypal
77,7,810.01,paypal
78,42,308.88,paypal
79,13,142.15,credit_card
80,28,492.18,credit_card
81,41,689.04,bank_transfer
82,57,414.0,paypal
83,73,121.65,credit_card
84,42,306.08,credit_card
85,87,575.09,bank_transfer
86,85,849.58,paypal
87,27,911.0,credit_card
88,18,174.89,paypal
89,89,568.91,bank_transfer
90,61,524.04,credit_card
91,69,450.46,paypal
92,99,987.02,bank_transfer
93,25,899.05,bank_transfer
94,45,877.4,bank_transfer
95,68,364.31,credit_card
96,53,944.56,paypal
97,53,985.54,bank_transfer
98,100,250.84,credit_card
99,9,839.52,bank_transfer
100,2,547.43,bank_transfer
101,86,259.99,credit_card
102,3,735.55,credit_card
103,3,497.96,paypal
104,11,464.73,paypal
105,31,254.55,paypal
106,51,173.18,bank_transfer
107,44,79.44,paypal
108,20,727.83,bank_transfer
109,68,517.12,bank_transfer
110,28,848.14,bank_transfer
111,33,167.84,paypal
112,90,874.18,paypal
113,11,291.23,credit_card
114,100,238.93,bank_transfer
115,3,535.49,paypal
116,16,640.64,paypal
117,45,79.15,paypal
118,2,721.87,bank_transfer
119,55,377.73,credit_card
120,27,460.84,bank_transfer
121,55,741.79,credit_card
122,29,678.16,paypal
123,12,523.0,bank_transfer
124,82,895.12,paypal
125,97,404.28,credit_card
126,11,284.96,paypal
127,63,704.11,paypal
128,47,951.04,paypal
129,67,160.05,bank_transfer
130,49,255.12,paypal
131,44,714.54,bank_transfer
132,6,627.55,bank_transfer
133,55,989.82,bank_transfer
134,41,970.83,credit_card
135,63,486.87,bank_transfer
136,88,498.71,credit_card
137,58,214.85,credit_card
138,43,908.11,bank_transfer
139,25,146.67,bank_transfer
140,24,148.94,credit_card
141,81,344.29,paypal
142,90,933.35,credit_card
143,22,305.28,paypal
144,24,252.59,credit_card
145,15,456.26,bank_transfer
146,74,585.96,bank_transfer
147,62,570.41,credit_card
148,35,232.74,credit_card
149,36,155.95,credit_card
150,5,587.78,credit_card
151,53,401.2,bank_transfer
152,94,732.05,credit_card
153,16,476.49,credit_card
154,6,621.15,paypal
155,97,233.47,paypal
156,30,970.81,paypal
157,33,165.2,credit_card
158,5,240.69,credit_card
159,70,746.25,bank_transfer
160,25,213.88,paypal
161,79,147.25,credit_card
162,3,130.52,credit_card
163,98,60.43,credit_card
164,97,728.27,bank_transfer
165,29,331.99,bank_transfer
166,59,927.2,credit_card
167,93,800.1,bank_transfer
168,61,931.27,paypal
169,76,25.43,paypal
170,39,919.66,credit_card
171,55,836.78,paypal
172,67,910.19,paypal
173,65,926.26,paypal
174,82,33.24,bank_transfer
175,96,335.07,credit_card
176,34,193.06,credit_card
177,47,825.39,credit_card
178,98,962.24,bank_transfer
179,93,932.74,credit_card
180,1,917.4,credit_card
181,95,120.48,bank_transfer
182,59,323.27,bank_transfer
183,44,514.86,paypal
184,85,497.01,paypal
185,97,451.88,bank_transfer
186,41,23.87,paypal
187,79,325.98,credit_card
188,4,651.4,paypal
189,83,383.74,bank_transfer
190,37,288.37,paypal
191,3,56.71,paypal
192,35,697.35,credit_card
193,44,912.29,bank_transfer
194,17,917.96,paypal
195,11,733.27,bank_transfer
196,12,80.54,paypal
197,82,52.97,credit_card
198,48,957.76,paypal
199,70,495.38,credit_card
200,87,734.98,credit_card
201,34,476.64,credit_card
202,63,589.94,bank_transfer
203,41,532.15,bank_transfer
204,72,867.08,paypal
205,34,567.11,bank_transfer
206,54,376.79,credit_card
207,10,727.2,bank_transfer
208,16,126.85,credit_card
209,92,953.52,credit_card
210,46,979.85,credit_card
211,42,95.71,paypal
212,31,296.01,bank_transfer
213,75,291.03,bank_transfer
214,59,770.86,bank_transfer
215,1,700.35,bank_transfer
216,83,507.26,paypal
217,15,208.5,bank_transfer
218,54,293.25,credit_card
219,57,698.21,credit_card
220,34,641.58,credit_card
221,39,850.94,credit_card
222,55,497.18,credit_card
223,35,943.69,paypal
224,52,611.08,bank_transfer
225,13,777.73,paypal
226,58,515.63,bank_transfer
227,75,26.78,paypal
228,79,411.98,paypal
229,36,167.11,paypal
230,85,304.09,bank_transfer
231,37,52.73,paypal
232,76,794.48,paypal
233,24,313.43,paypal
234,100,724.16,bank_transfer
235,60,533.51,credit_card
236,32,897.45,paypal
237,1,858.59,paypal
238,8,554.35,paypal
239,72,703.12,bank_transfer
240,34,607.53,credit_card
241,54,996.35,bank_transfer
242,39,686.06,credit_card
243,39,985.01,bank_transfer
244,6,256.58,credit_card
245,17,411.84,paypal
246,56,404.04,bank_transfer
247,25,125.14,bank_transfer
248,11,329.03,paypal
249,55,690.2,bank_transfer
250,73,396.2,bank_transfer
251,26,731.95,paypal
252,87,115.53,bank_transfer
253,68,262.3,bank_transfer
254,97,50.49,paypal
255,5,49.17,credit_card
256,27,665.62,credit_card
257,29,817.33,credit_card
258,73,195.5,bank_transfer
259,21,881.83,bank_transfer
260,77,359.14,paypal
261,76,851.03,paypal
262,63,808.6,bank_transfer
263,87,790.35,bank_transfer
264,70,544.89,bank_transfer
265,35,49.72,credit_card
266,68,72.16,bank_transfer
267,19,576.55,paypal
268,6,72.19,paypal
269,27,693.34,paypal
270,94,780.99,bank_transfer
271,19,337.75,bank_transfer
272,64,898.31,credit_card
273,16,60.94,paypal
274,32,279.56,paypal
275,100,799.28,paypal
276,6,421.87,bank_transfer
277,52,750.57,paypal
278,77,321.03,paypal
279,42,20.59,credit_card
280,9,438.3,bank_transfer
281,47,526.64,bank_transfer
282,55,60.18,paypal
283,74,629.36,credit_card
284,23,490.93,paypal
285,5,478.39,bank_transfer
286,55,892.76,credit_card
287,33,593.29,credit_card
288,1,794.73,credit_card
289,49,362.95,bank_transfer
290,86,140.78,paypal
291,51,66.29,credit_card
292,68,664.49,paypal
293,27,478.27,bank_transfer
294,74,701.0,paypal
295,51,610.86,credit_card
296,46,58.6,paypal
297,87,743.95,bank_transfer
298,7,685.68,credit_card
299,9,210.57,paypal
300,30,618.47,bank_transfer
301,27,865.1,paypal
302,48,660.0,bank_transfer
303,37,686.32,bank_transfer
304,88,98.25,paypal
305,47,53.88,credit_card
306,94,687.86,credit_card
307,79,46.71,paypal
308,31,233.18,credit_card
309,2,307.63,paypal
310,55,615.61,credit_card
311,2,300.46,bank_transfer
312,77,20.31,paypal
313,89,269.63,paypal
314,22,792.05,bank_transfer
315,100,775.28,bank_transfer
316,55,356.35,bank_transfer
317,17,574.06,credit_card
318,64,593.68,bank_transfer
319,10,909.36,paypal
320,48,823.19,credit_card
321,51,986.32,bank_transfer
322,82,901.07,paypal
323,36,723.54,paypal
324,66,33.26,paypal
