id,name,price,category_id
1,Wall,856.15,9
2,Especially,850.96,7
3,Size,522.05,6
4,Wish,47.63,3
5,Religious,804.94,4
6,Cold,229.17,8
7,Rest,663.96,6
8,Ten,558.35,7
9,Step,194.47,9
10,Record,965.11,4
11,Concern,741.35,2
12,Music,788.47,2
13,Along,552.27,4
14,Quite,441.28,9
15,Church,330.99,1
16,Idea,440.85,4
17,Price,205.96,9
18,Avoid,311.81,10
19,Better,94.29,10
20,Strategy,137.79,1
21,Once,664.95,5
22,Truth,591.73,7
23,Seat,679.86,6
24,Of,915.37,8
25,Question,207.56,8
26,He,267.83,3
27,Make,540.77,4
28,Tree,414.24,2
29,Song,43.02,2
30,Usually,954.83,10
31,Image,537.68,4
32,Movement,757.19,9
33,Across,514.95,5
34,Really,102.56,4
35,Feel,638.24,1
36,Stay,812.0,10
37,Surface,471.61,7
38,Bed,860.41,6
39,People,486.41,3
40,Draw,158.99,4
41,Sometimes,247.1,9
42,Paper,505.27,7
43,Company,103.44,2
44,Raise,846.86,7
45,Growth,370.42,4
46,Great,335.67,6
47,Interview,604.72,5
48,Pattern,178.59,8
49,World,984.66,10
50,Approach,343.08,1
51,Maintain,765.35,1
52,Cultural,446.11,9
53,Son,926.64,2
54,Imagine,576.16,4
55,Quality,14.55,7
56,Join,856.89,8
57,Main,933.32,8
58,North,125.05,3
59,Culture,893.71,3
60,Decade,743.89,8
61,Career,558.18,3
62,Successful,723.46,6
63,System,319.81,6
64,Culture,848.25,8
65,Majority,69.06,7
66,Very,774.3,7
67,Center,592.72,5
68,Why,838.11,2
69,Read,982.1,4
70,Could,707.38,4
71,Site,392.61,1
72,Spring,800.88,5
73,Low,941.95,4
74,Movie,518.42,9
75,Gun,467.74,5
76,Someone,56.1,2
77,Little,664.11,9
78,Model,970.99,8
79,Director,799.73,2
80,Sister,685.83,10
81,Million,171.36,4
82,Center,207.28,1
83,Indicate,106.28,4
84,Tough,145.36,8
85,Others,33.71,1
86,Approach,414.96,7
87,Out,863.79,3
88,Against,415.77,8
89,Sign,62.35,2
90,Likely,731.86,5
91,Away,511.33,4
92,Least,191.09,10
93,Toward,317.01,3
94,Reality,334.23,9
95,Couple,161.54,3
96,Take,284.26,1
97,Talk,485.5,3
98,Wear,745.14,4
99,Democratic,450.46,5
100,Example,834.69,3
101,Data,664.07,4
102,Bit,839.67,2
103,Safe,623.99,2
104,Gas,450.04,8
105,Tough,209.2,10
106,Career,819.04,10
107,Move,934.33,6
108,Rich,116.7,8
109,Month,422.45,8
110,Why,664.1,3
111,Protect,41.92,9
112,Happen,891.68,6
113,Cut,159.81,3
114,He,744.9,10
115,Real,196.56,4
116,Majority,211.13,4
117,Total,471.46,10
118,Dream,907.96,2
119,Society,734.26,1
120,Population,282.48,4
121,Contain,404.24,6
122,Yard,863.07,10
123,How,482.72,7
124,Area,317.38,9
125,Apply,155.5,3
126,Movement,729.86,2
127,Institution,409.67,10
128,Who,294.02,3
129,Artist,305.56,5
130,Cell,454.21,2
131,Only,744.57,8
132,For,410.79,10
133,Young,738.96,1
134,Star,870.1,3
135,Represent,785.42,6
136,Which,976.7,3
137,Poor,596.31,10
138,Another,214.61,2
139,Establish,20.67,1
140,Enjoy,870.42,1
141,Technology,849.92,2
142,Growth,754.78,9
143,Hear,728.04,9
144,Song,694.87,9
145,Avoid,884.44,2
146,Nature,780.19,5
147,Or,676.5,6
148,Center,888.5,8
149,Indeed,584.27,3
150,Leg,181.12,2
151,Carry,594.49,6
152,View,773.26,10
153,Special,216.35,1
154,Image,670.66,8
155,Late,575.98,4
156,Environment,622.68,2
157,Rest,20.06,2
158,Chance,702.98,2
159,Natural,117.06,8
160,Year,949.02,3
161,Generation,805.6,6
162,Billion,807.71,7
163,Inside,993.69,8
164,Movie,974.06,6
165,Friend,764.95,3
166,Improve,652.73,9
167,Area,999.4,7
168,Doctor,396.8,1
169,Unit,363.69,6
170,Society,787.15,4
171,Particular,155.44,3
172,Area,876.67,10
173,Reason,254.76,9
174,Bring,666.45,5
175,How,746.9,7
176,Indeed,536.1,7
177,Option,160.17,2
178,Public,661.42,2
