id,name,price,category_id
1,Occur,13.49,4
2,Others,627.59,5
3,Sign,377.21,10
4,Road,268.57,1
5,Teacher,536.52,5
6,Little,38.93,2
7,Specific,821.66,7
8,Throw,412.39,6
9,Pm,821.93,9
10,Arm,684.64,2
11,Population,841.33,3
12,Seek,413.55,3
13,Financial,552.02,6
14,Small,80.43,5
15,Would,533.24,5
16,Court,859.29,4
17,Shoulder,301.5,4
18,Issue,234.61,1
19,Other,520.61,9
20,Everything,73.75,6
21,Film,289.56,10
22,Chair,644.38,10
23,Help,63.3,6
24,Make,264.92,2
25,Attorney,160.85,4
26,Rate,136.88,4
27,Whatever,328.45,4
28,Want,255.0,5
29,Again,920.66,2
30,Generation,63.48,4
31,Challenge,895.6,4
32,Page,472.28,4
33,Fall,648.5,9
34,Tough,525.45,8
35,Even,228.07,10
36,Player,912.28,2
37,Generation,844.38,1
38,Serious,31.09,9
39,First,606.39,2
40,Nothing,730.82,6
41,Where,656.08,4
42,Blue,498.0,2
43,Special,274.85,10
44,Image,442.91,9
45,Man,998.24,5
46,Food,594.78,3
47,Imagine,217.12,9
48,Summer,388.17,8
49,Wind,266.59,3
50,Even,917.5,7
51,Civil,295.19,5
52,Development,683.05,6
53,Or,720.53,9
54,Create,83.97,2
55,Difficult,426.47,7
56,Coach,829.42,10
57,Reason,655.37,6
58,Agreement,41.83,1
59,Edge,549.25,2
60,Bag,61.58,3
61,Our,312.21,4
62,Under,629.33,6
63,Out,255.71,4
64,Local,58.29,4
65,Against,524.9,7
66,Company,957.39,7
67,Republican,941.79,1
68,Gun,319.56,9
69,If,415.26,3
70,Cell,592.69,10
71,Home,726.59,1
72,Arrive,279.61,4
73,Home,792.66,3
74,Event,734.51,5
75,Church,881.36,2
76,Card,751.72,10
77,Threat,557.72,4
78,Wear,939.92,4
79,Machine,157.7,8
80,Material,983.5,2
81,Whole,911.3,4
82,Sit,436.28,3
83,Sport,236.87,1
84,Evening,160.23,10
85,Source,317.86,3
86,He,219.66,1
87,Voice,954.99,10
88,View,524.73,2
89,Little,338.89,2
90,Condition,67.92,3
91,Produce,956.23,5
92,Source,211.41,6
93,As,376.77,1
94,Floor,481.64,10
95,Individual,99.64,7
96,Green,676.58,5
97,Well,631.89,4
98,Item,993.36,2
99,Since,85.86,1
100,Might,782.59,8
101,Hold,192.77,10
102,Scene,57.78,7
103,Analysis,425.76,8
104,Worry,330.55,3
105,Culture,624.42,10
106,Nothing,706.42,3
107,Side,708.28,1
108,Certainly,141.0,9
109,Republican,625.64,10
110,This,387.11,1
111,Too,367.44,8
112,Two,886.81,2
113,Organization,242.52,7
114,Knowledge,243.48,3
115,Record,928.22,2
116,Yes,679.63,6
117,On,211.38,3
118,True,153.7,3
119,What,113.72,3
120,Organization,600.34,9
121,Both,309.55,9
122,Enjoy,555.12,4
123,Figure,761.18,6
124,Worry,841.13,1
125,List,394.75,9
126,Person,256.83,9
127,Talk,782.83,2
128,However,622.27,6
129,Best,20.32,6
130,Assume,724.14,1
131,Raise,525.08,1
132,Modern,902.24,2
133,Identify,278.18,3
134,Weight,348.27,4
135,Travel,967.73,3
136,Born,592.3,9
137,On,23.3,7
138,Market,955.04,10
139,Also,276.6,1
140,See,781.43,5
141,Because,734.91,2
142,Plan,820.14,2
143,Though,489.0,9
144,Instead,154.1,10
145,Last,518.36,5
146,Born,238.79,2
147,Former,751.22,7
148,Present,486.37,7
149,Box,688.21,6
150,Factor,662.88,4
151,Then,771.52,7
152,Less,79.87,5
153,Vote,702.01,2
154,Evening,618.87,7
155,Official,378.77,1
156,Level,851.22,2
157,According,624.27,1
158,Spend,755.05,7
159,Marriage,736.3,8
160,Particularly,66.27,6
161,Company,956.28,7
162,Medical,427.96,8
163,Tree,280.09,4
164,Girl,476.1,10
165,Show,188.53,8
166,Store,107.15,8
167,Wish,112.38,8
168,Her,42.0,5
169,Strong,310.64,5
170,Sense,390.38,6
171,Modern,995.11,10
172,Develop,989.48,6
173,Push,343.33,6
174,Thousand,232.6,9
175,During,49.77,8
176,Friend,514.7,8
177,Into,842.63,2
178,Identify,238.32,5
179,Building,466.57,9
180,Point,442.47,2
181,Use,672.85,10
182,Mission,262.26,10
183,Star,425.28,8
184,As,933.42,8
185,Trouble,523.92,7
186,Already,861.67,10
187,Wait,480.39,7
188,Parent,444.1,1
189,Tree,295.03,7
190,Simple,728.04,4
191,Break,376.79,7
192,Office,209.5,6
193,Military,980.33,8
194,Science,300.68,1
195,Check,908.53,6
196,Commercial,116.38,9
197,Color,873.94,1
198,Daughter,885.2,4
199,Analysis,730.25,7
200,Open,987.53,9
201,Answer,560.01,9
202,Build,408.39,5
203,Thousand,775.79,6
204,Yet,688.55,6
205,Place,299.26,4
206,Book,700.89,10
207,Study,54.07,2
208,Despite,365.39,8
209,Foreign,100.15,5
210,Management,777.11,4
211,Happy,497.19,7
212,Never,147.5,3
